STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MEUR,"Chain linked volumes (2020), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,1995,,5279.9,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MEUR,"Chain linked volumes (2020), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,1996,,5667.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MEUR,"Chain linked volumes (2020), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,1997,,5003.5,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MEUR,"Chain linked volumes (2020), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,1998,,5419.3,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MEUR,"Chain linked volumes (2020), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,1999,,6083.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MEUR,"Chain linked volumes (2020), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,2000,,6537.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MEUR,"Chain linked volumes (2020), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,2001,,7116.6,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MEUR,"Chain linked volumes (2020), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,2002,,7446.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MEUR,"Chain linked volumes (2020), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,2003,,7843.1,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MEUR,"Chain linked volumes (2020), million euro",B1GQ,Gross domestic product at market prices,AL,Albania,2004,,8256.2,,,,,
