STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,vehicle,Vehicles,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,AT,Austria,2008,,16.3,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,AT,Austria,2009,,15.9,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,AT,Austria,2010,,16.9,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,AT,Austria,2011,,17.7,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,AT,Austria,2012,,18.2,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,AT,Austria,2013,,18.5,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,AT,Austria,2014,,18.9,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,AT,Austria,2015,,19.2,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,AT,Austria,2016,,19.0,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,AT,Austria,2017,,20.1,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,AT,Austria,2018,,21.7,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,AT,Austria,2019,,22.9,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,AT,Austria,2020,,9.4,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,AT,Austria,2021,,11.8,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,AT,Austria,2022,,20.7,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,AT,Austria,2023,,23.0,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,BE,Belgium,2008,,7.4,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,BE,Belgium,2009,,7.1,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,BE,Belgium,2010,,7.4,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,BE,Belgium,2011,,8.0,,,,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,BE,Belgium,2012,,8.4,,be,"break in time series, estimated",,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,BE,Belgium,2013,,8.8,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,BE,Belgium,2014,,9.7,,be,"break in time series, estimated",,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,BE,Belgium,2015,,10.4,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,BE,Belgium,2016,,10.9,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,BE,Belgium,2017,,11.6,,e,estimated,,
dataflow,ESTAT:TRAN_HV_MS_PSMOD(1.0),"Modal split of air, sea and inland passenger transport",A,Annual,AC,Aircraft,PC,Percentage,BE,Belgium,2018,,12.0,,e,estimated,,
