geo,TIME_PERIOD,AFC,DL,FC_E,FC_IND_E,FC_OTH_E,FC_TRA_E,GEP,GEP_MAPCHP,GEP_MAPE,GHP,GHP_MAPCHP,PIB_real_MEUR,PIB_real_NAC,PIB_growth_pct,EMI_CH4,EMI_CH4_CO2E,EMI_CO2,EMI_GHG,EMI_N2O,EFF_PEC_EED,CONS_ELECT_ANNUAL,TRANS_AC,TRANS_BUS_TOT,TRANS_CAR,TRANS_SEAV,TRANS_TRN
AL,1990,450757.501,16885.012,391583.107,133143.887,207576.502,50862.72,48434.335999999996,1836.904,46597.432,1837.948,1837.948,,,,,,,,,,,,,,,
AL,1991,307164.393,12447.938,288940.108,85605.784,164844.688,38489.633,55079.062,1237.1,53841.962,1228.772,1228.772,,,,,,,,,,,,,,,
AL,1992,217728.592,13551.132000000001,205328.939,50839.117,124880.64600000001,29609.176,48499.938,693.524,47806.414000000004,687.28,687.28,,,,,,,,,,,,,,,
AL,1993,195823.472,15983.091,186007.159,37592.234,111433.136,36981.789,50618.006,880.9639999999999,49737.039,879.92,879.92,,,,,,,,,,,,,,,
AL,1994,207039.769,17645.074,185311.988,33604.68,105024.49100000001,46682.82,56199.012,693.524,55505.488,697.692,697.692,,,,,,,,,,,,,,,
AL,1995,194475.401,22039.574,187208.477,35454.414,105408.635,46345.43,64141.757,1105.892,63035.865,1103.812,1103.812,5279.9,653491.0,,,,,,,,,,,,,
AL,1996,201806.22100000002,27635.824,197211.161,35721.854999999996,115564.576,45924.731999999996,85294.289,1049.6599999999999,84244.629,1051.7440000000001,1051.7440000000001,5667.2,701433.3,7.3,,,,,,,,,,,,
AL,1997,164613.048,27829.773,160742.644,18626.465,105461.364,36654.815,74432.178,824.732,73607.446,817.444,817.444,5003.5,619284.4,-11.7,,,,,,,,,,,,
AL,1998,183953.874,30444.131,180315.353,28392.072,97836.608,54086.676,72703.05,768.5,71934.55,770.584,770.584,5419.3,670747.1,8.3,,,,,,,,,,,,
AL,1999,301967.029,13499.001,281772.657,51402.617,129583.955,100786.08600000001,77000.098,599.808,76400.29000000001,1280.838,593.56,6083.2,752918.5,12.3,,,,,,,,,,,,
AL,2000,301523.93,12642.254,285638.234,50193.546,129922.651,105522.041,68031.12299999999,749.756,67281.367,1192.322,754.9639999999999,6537.2,809107.7,7.5,,,,,,,,,,,,
AL,2001,313063.23,12910.59,295340.023,53739.723,130686.25899999999,110914.04400000001,53256.212999999996,712.268,52543.945,1286.04,718.516,7116.6,880824.8,8.9,,,,,,,,,,,,
AL,2002,353650.104,9925.632,341833.545,38185.563,175745.78,127902.2,53607.665,974.684,52632.978,1379.76,978.848,7446.0,921592.9,4.6,,,,,,,,,,,,
