geo,TIME_PERIOD,AFC_Bioenergía,AFC_Carbón,AFC_Eólica,AFC_Gas,AFC_Hidráulica,AFC_Nuclear,AFC_Petróleo,AFC_Renovables_total,AFC_Solar,DL_Bioenergía,DL_Carbón,DL_Eólica,DL_Gas,DL_Hidráulica,DL_Nuclear,DL_Petróleo,DL_Renovables_total,DL_Solar,FC_E_Bioenergía,FC_E_Carbón,FC_E_Eólica,FC_E_Gas,FC_E_Hidráulica,FC_E_Nuclear,FC_E_Petróleo,FC_E_Renovables_total,FC_E_Solar,FC_IND_E_Bioenergía,FC_IND_E_Carbón,FC_IND_E_Eólica,FC_IND_E_Gas,FC_IND_E_Hidráulica,FC_IND_E_Nuclear,FC_IND_E_Petróleo,FC_IND_E_Renovables_total,FC_IND_E_Solar,FC_OTH_E_Bioenergía,FC_OTH_E_Carbón,FC_OTH_E_Eólica,FC_OTH_E_Gas,FC_OTH_E_Hidráulica,FC_OTH_E_Nuclear,FC_OTH_E_Petróleo,FC_OTH_E_Renovables_total,FC_OTH_E_Solar,FC_TRA_E_Bioenergía,FC_TRA_E_Carbón,FC_TRA_E_Eólica,FC_TRA_E_Gas,FC_TRA_E_Hidráulica,FC_TRA_E_Nuclear,FC_TRA_E_Petróleo,FC_TRA_E_Renovables_total,FC_TRA_E_Solar,GEP_Bioenergía,GEP_Carbón,GEP_Eólica,GEP_Gas,GEP_Hidráulica,GEP_Nuclear,GEP_Petróleo,GEP_Renovables_total,GEP_Solar,GEP_MAPCHP_Bioenergía,GEP_MAPCHP_Carbón,GEP_MAPCHP_Eólica,GEP_MAPCHP_Gas,GEP_MAPCHP_Hidráulica,GEP_MAPCHP_Nuclear,GEP_MAPCHP_Petróleo,GEP_MAPCHP_Renovables_total,GEP_MAPCHP_Solar,GEP_MAPE_Bioenergía,GEP_MAPE_Carbón,GEP_MAPE_Eólica,GEP_MAPE_Gas,GEP_MAPE_Hidráulica,GEP_MAPE_Nuclear,GEP_MAPE_Petróleo,GEP_MAPE_Renovables_total,GEP_MAPE_Solar,GHP_Bioenergía,GHP_Carbón,GHP_Eólica,GHP_Gas,GHP_Hidráulica,GHP_Nuclear,GHP_Petróleo,GHP_Renovables_total,GHP_Solar,GHP_MAPCHP_Bioenergía,GHP_MAPCHP_Carbón,GHP_MAPCHP_Eólica,GHP_MAPCHP_Gas,GHP_MAPCHP_Hidráulica,GHP_MAPCHP_Nuclear,GHP_MAPCHP_Petróleo,GHP_MAPCHP_Renovables_total,GHP_MAPCHP_Solar,AFC_total,DL_total,FC_E_total,FC_IND_total,FC_TRA_total,FC_OTH_total,PIB_real_MEUR,PIB_real_NAC,PIB_growth_pct,EMI_CH4,EMI_CH4_CO2E,EMI_CO2,EMI_GHG,EMI_N2O,EFF_PEC_EED,CONS_ELECT_ANNUAL,TRANS_AC,TRANS_BUS_TOT,TRANS_CAR,TRANS_SEAV,TRANS_TRN
AL,1990,19783.966,7270.565,0.0,15361.903,0.0,19783.966,39635.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19783.966,7270.565,0.0,15361.903,0.0,19783.966,39635.72,0.0,0.0,0.0,293.655,0.0,0.0,0.0,0.0,17296.906,0.0,0.0,19783.966,6976.91,0.0,15361.903,0.0,19783.966,22338.814000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26691.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26691.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101836.12,0.0,101836.12,17590.560999999998,0.0,84245.55900000001,,,,,,,,,,,,,,,
AL,1991,19783.966,4005.736,0.0,8212.661,0.0,19783.966,23553.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19783.966,4005.736,0.0,8212.661,0.0,19783.966,23553.896,0.0,0.0,0.0,256.948,0.0,0.0,0.0,0.0,11592.448,0.0,0.0,19783.966,3748.788,0.0,8212.661,0.0,19783.966,11961.447999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32970.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32970.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75340.225,0.0,75340.225,11849.396,0.0,63490.829,,,,,,,,,,,,,,,
AL,1992,19783.966,963.231,0.0,2267.7709999999997,0.0,19783.966,6773.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19783.966,963.231,0.0,2267.7709999999997,0.0,19783.966,6773.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3542.344,0.0,0.0,19783.966,963.231,0.0,2267.7709999999997,0.0,19783.966,3231.0009999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30233.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30233.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49572.278,0.0,49572.278,3542.344,0.0,46029.935,,,,,,,,,,,,,,,
AL,1993,18883.216,989.2629999999999,0.0,1473.4099999999999,0.0,18883.216,2462.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18883.216,989.2629999999999,0.0,1473.4099999999999,0.0,18883.216,2462.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18883.216,989.2629999999999,0.0,1473.4099999999999,0.0,18883.216,2462.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31058.706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31058.706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42691.778,0.0,42691.778,0.0,0.0,42691.778,,,,,,,,,,,,,,,
AL,1994,18024.119,52.066,0.0,2101.211,0.0,18024.119,2153.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18024.119,52.066,0.0,2101.211,0.0,18024.119,2153.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18024.119,52.066,0.0,2101.211,0.0,18024.119,2153.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35341.695999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35341.695999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40354.792,0.0,40354.792,0.0,0.0,40354.792,,,,,,,,,,,,,,,
AL,1995,17204.072,156.199,0.0,845.609,0.0,17204.072,1001.8080000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17204.072,156.199,0.0,845.609,0.0,17204.072,1001.8080000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17204.072,156.199,0.0,845.609,0.0,17204.072,1001.8080000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39399.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39399.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36411.76,0.0,36411.76,0.0,0.0,36411.76,5279.9,653491.0,,,,,,,,,,,,,
AL,1996,16420.471,0.0,0.0,1447.786,0.0,16420.470999999998,1447.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16420.471,0.0,0.0,1447.786,0.0,16420.470999999998,1447.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16420.471,0.0,0.0,1447.786,0.0,16420.470999999998,1447.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53663.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53663.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35736.514,0.0,35736.514,0.0,0.0,35736.514,5667.2,701433.3,7.3,,,,,,,,,,,,
AL,1997,15673.316,0.0,0.0,499.679,0.0,15673.316,499.67900000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15673.316,0.0,0.0,499.679,0.0,15673.316,499.67900000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15673.316,0.0,0.0,499.679,0.0,15673.316,499.67900000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47122.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47122.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32345.99,0.0,32345.99,0.0,0.0,32345.99,5003.5,619284.4,-11.7,,,,,,,,,,,,
AL,1998,14960.006,0.0,0.0,627.801,0.0,14960.006,627.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14960.006,0.0,0.0,627.801,0.0,14960.006,627.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14960.006,0.0,0.0,627.801,0.0,14960.006,627.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46119.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46119.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31175.613999999998,0.0,31175.613999999998,0.0,0.0,31175.613999999998,5419.3,670747.1,8.3,,,,,,,,,,,,
AL,1999,14277.934000000001,0.0,0.0,1063.4180000000001,0.0,14374.258000000002,1063.4180000000001,0.0,0.0,0.0,0.0,0.0,76.874,0.0,0.0,76.874,0.0,0.0,14277.934000000001,0.0,0.0,1076.23,0.0,14374.258000000002,1076.23,0.0,0.0,3712.341,0.0,0.0,884.047,0.0,3712.341,884.047,0.0,0.0,10565.593,0.0,0.0,192.18400000000003,0.0,10661.917,192.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49521.484000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49521.484000000004,0.0,0.0,0.0,0.0,0.0,0.0,171.82,0.0,0.0,171.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30779.028000000002,153.748,30804.652000000002,9192.776,0.0,21611.878,6083.2,752918.5,12.3,,,,,,,,,,,,
